split_id,stratum,permutation,ranking,top1_recovery,top2_recall,rank_of_best,spearman_rho,ndcg,candidate_mean_ddg,selected_top1_ddg,selected_top2_mean_ddg,top1_gain_over_panel_mean,top2_gain_over_panel_mean,top1_outcome_enrichment,top2_outcome_enrichment
S014,three_singleton_scaffolds,3,SIG-NIHDA-785|SIG-NIHDA-401|SIG-NIHDA-2064,1.0,1.0,1,1.0,1.0,0.41594414833333326,1.163593648,0.6098801699999999,0.7476494996666667,0.19393602166666668,2.7974757011547338,1.4662549586134541
S014,three_singleton_scaffolds,4,SIG-NIHDA-785|SIG-NIHDA-2064|SIG-NIHDA-401,1.0,0.5,1,0.5,0.9969676715781648,0.41594414833333326,1.163593648,0.5958328764999999,0.7476494996666667,0.17988872816666668,2.7974757011547338,1.4324828919639128
S014,three_singleton_scaffolds,5,SIG-NIHDA-2064|SIG-NIHDA-401|SIG-NIHDA-785,0.0,0.5,3,-1.0,0.5319625373654928,0.4159441483333333,0.028072105,0.0421193985,-0.3878720433333333,-0.3738247498333333,0.06749008277309218,0.10126214942263342
S014,three_singleton_scaffolds,6,SIG-NIHDA-2064|SIG-NIHDA-785|SIG-NIHDA-401,0.0,0.5,2,-0.5,0.6514902682335502,0.41594414833333326,0.028072105,0.5958328764999999,-0.38787204333333325,0.17988872816666668,0.0674900827730922,1.4324828919639128
S015,three_singleton_scaffolds,1,SIG-NIHDA-401|SIG-NIHDA-785|SIG-NIHDA-2067,0.0,0.5,2,-0.5,0.6887545108107215,0.5617332983333333,0.056166692,0.6098801699999999,-0.5055666063333333,0.048146871666666646,0.099988183300949,1.0857112651315468
S015,three_singleton_scaffolds,2,SIG-NIHDA-401|SIG-NIHDA-2067|SIG-NIHDA-785,0.0,0.5,3,-1.0,0.6272134838151542,0.5617332983333333,0.056166692,0.2608031235,-0.5055666063333333,-0.3009301748333333,0.099988183300949,0.46428282651892766
S015,three_singleton_scaffolds,3,SIG-NIHDA-785|SIG-NIHDA-401|SIG-NIHDA-2067,1.0,0.5,1,0.5,0.9639233335978793,0.5617332983333333,1.163593648,0.6098801699999999,0.6018603496666667,0.048146871666666646,2.071434346962145,1.0857112651315468
S015,three_singleton_scaffolds,4,SIG-NIHDA-785|SIG-NIHDA-2067|SIG-NIHDA-401,1.0,1.0,1,1.0,1.0,0.5617332983333333,1.163593648,0.8145166015,0.6018603496666667,0.25278330316666675,2.071434346962145,1.4500059083495256
S015,three_singleton_scaffolds,5,SIG-NIHDA-2067|SIG-NIHDA-401|SIG-NIHDA-785,0.0,0.5,3,-0.5,0.7289078947198854,0.5617332983333333,0.465439555,0.2608031235,-0.09629374333333329,-0.3009301748333333,0.8285774697369063,0.46428282651892766
S015,three_singleton_scaffolds,6,SIG-NIHDA-2067|SIG-NIHDA-785|SIG-NIHDA-401,0.0,1.0,2,0.5,0.8265255881175735,0.5617332983333333,0.465439555,0.8145166015,-0.09629374333333329,0.25278330316666675,0.8285774697369063,1.4500059083495256
